DATE,SALES
2001-01-01,2062.6
2001-02-01,1790
2001-03-01,1690.1
2001-04-01,1404.4
2001-05-01,1983.7
2001-06-01,2571.9
2001-07-01,3052.2
2001-08-01,3116.5
2001-09-01,2836.7
2001-10-01,2219.6
2001-11-01,1584.3
2001-12-01,1888.1
2002-01-01,2153.4
2002-02-01,1810.8
2002-03-01,1641.8
2002-04-01,1520.7
2002-05-01,1858.7
2002-06-01,2562.2
2002-07-01,3297.1
2002-08-01,3287.3
2002-09-01,2866.6
2002-10-01,2097.3
2002-11-01,1508.1
2002-12-01,1808.5
2003-01-01,2004
2003-02-01,1594.6
2003-03-01,1661.9
2003-04-01,1457
2003-05-01,1826.9
2003-06-01,2743.4
2003-07-01,3492.7
2003-08-01,3573.9
2003-09-01,3192.2
2003-10-01,2474.2
2003-11-01,1713.8
2003-12-01,2006.9
2004-01-01,2164.3
2004-02-01,1938.7
2004-03-01,1878.7
2004-04-01,1730
2004-05-01,2162
2004-06-01,2849.7
2004-07-01,3466.5
2004-08-01,3599.1
2004-09-01,3078.3
2004-10-01,2183.3
2004-11-01,1680.2
2004-12-01,2189.8
2005-01-01,2285.6
2005-02-01,1813.9
2005-03-01,1739.2
2005-04-01,1684.1
2005-05-01,2169.6
2005-06-01,3136.5
2005-07-01,4006.3
2005-08-01,3830.3
2005-09-01,3465.9
2005-10-01,2486.6
2005-11-01,1744.6
2005-12-01,2181.1
2006-01-01,2274.6
2006-02-01,1894.9
2006-03-01,1895.8
2006-04-01,1827.2
2006-05-01,2510.9
2006-06-01,3557
2006-07-01,4298.3
2006-08-01,4092.7
2006-09-01,3390.6
2006-10-01,2422.1
2006-11-01,1878.3
2006-12-01,2325.1
2007-01-01,2741.4
2007-02-01,2150.1
2007-03-01,1951.8
2007-04-01,1858.2
2007-05-01,2640.8
2007-06-01,3436.5
2007-07-01,4399.5
2007-08-01,4277.2
2007-09-01,4055.1
2007-10-01,2574.5
2007-11-01,1999.5
2007-12-01,2352.1
2008-01-01,2632
2008-02-01,2305.6
2008-03-01,1995.2
2008-04-01,1853.9
2008-05-01,2307.1
2008-06-01,3291.2
2008-07-01,4275.9
2008-08-01,4264.2
2008-09-01,3613.7
2008-10-01,2603
2008-11-01,1920.2
2008-12-01,2174.5
2009-01-01,2422.3
2009-02-01,1936.4
2009-03-01,1946.8
2009-04-01,1778.8
2009-05-01,2764.8
2009-06-01,3105.7
2009-07-01,4313.3
2009-08-01,4340.1
2009-09-01,3629.3
2009-10-01,2441
2009-11-01,1883.9
2009-12-01,2284.5
2010-01-01,2447.3
2010-02-01,1980.6
2010-03-01,1982
2010-04-01,1821.2
2010-05-01,2248.1
2010-06-01,3355.8
2010-07-01,4438.7
2010-08-01,4123.4
2010-09-01,3575.6
2010-10-01,2442
2010-11-01,1832.6
2010-12-01,2200.9
2011-01-01,2461.2
2011-02-01,2143.9
2011-03-01,1891.1
2011-04-01,1964.4
2011-05-01,2294.5
2011-06-01,3300.5
2011-07-01,4307.5
2011-08-01,4479.8
2011-09-01,3606.7
2011-10-01,2391.5
2011-11-01,1792.7
2011-12-01,2445.4
2012-01-01,2356.3
2012-02-01,1906.4
2012-03-01,1902.5
2012-04-01,2016.9
2012-05-01,2737.5
2012-06-01,3725.8
2012-07-01,4137.4
2012-08-01,4303.8
2012-09-01,3392.7
2012-10-01,2399.4
2012-11-01,1836.6
2012-12-01,2207.5
2013-01-01,2684
2013-02-01,2068.2
2013-03-01,1940.3
2013-04-01,1965.6
2013-05-01,2684.4
2013-06-01,3812.1
2013-07-01,4370.6
2013-08-01,4075.9
2013-09-01,3338.7
2013-10-01,2063
2013-11-01,1766.4
2013-12-01,2334.5
2014-01-01,2299.8
2014-02-01,1803.9
2014-03-01,1791.2
2014-04-01,1931.3
2014-05-01,2573.5
2014-06-01,3705.5
2014-07-01,4377.2
2014-08-01,3913.5
2014-09-01,3434.4
2014-10-01,2431.2
2014-11-01,1842.3
2014-12-01,2242.2
2015-01-01,2342.8
2015-02-01,1703.1
2015-03-01,1976.4
2015-04-01,1960.5
2015-05-01,2313.4
2015-06-01,3750
2015-07-01,4222.7
2015-08-01,4411.6
2015-09-01,3529.1
2015-10-01,2555.8
2015-11-01,1869.1
2015-12-01,2532.5
2016-01-01,2515.8
2016-02-01,1953.8
2016-03-01,1854.4
2016-04-01,1960.8
2016-05-01,2511.4
2016-06-01,4026.5
2016-07-01,4673.9
2016-08-01,4210.4
2016-09-01,3215.9
2016-10-01,2596
2016-11-01,1919.1
2016-12-01,2252.8
2017-01-01,2377.3
2017-02-01,1840.5
2017-03-01,2037.1
2017-04-01,2117.5
2017-05-01,2735.4
2017-06-01,4110.4
2017-07-01,4630.4
2017-08-01,4288.2
2017-09-01,3457.1
2017-10-01,2548.6
2017-11-01,1920.3
2017-12-01,2188.4
2018-01-01,2172.2
2018-02-01,1892.9
2018-03-01,1981.5
2018-04-01,2259
2018-05-01,2886
2018-06-01,3862.7
2018-07-01,4700.1
2018-08-01,4575.1
2018-09-01,3838.7
2018-10-01,2240.7
2018-11-01,1887.5
2018-12-01,2363.8
2019-01-01,2468.8
2019-02-01,2214.6
2019-03-01,2007.7
2019-04-01,2110
2019-05-01,2371.1
2019-06-01,3623.4
2019-07-01,4712
2019-08-01,4814.9
2019-09-01,3697.2
2019-10-01,2362
2019-11-01,1936.5
2019-12-01,2401.8
2020-01-01,2457
2020-02-01,2122.8
2020-03-01,1963.5
2020-04-01,2287.8
2020-05-01,3474.6
2020-06-01,4031.6
2020-07-01,5228.6
2020-08-01,5389.4
2020-09-01,4011.2
2020-10-01,3073.5
2020-11-01,2188.3
2020-12-01,2478.9
2021-01-01,2591
2021-02-01,2015.3
2021-03-01,2150.1
2021-04-01,2399.9
2021-05-01,3115.3
2021-06-01,4573
2021-07-01,4829.9
2021-08-01,4656.9
2021-09-01,3928.2
2021-10-01,2476.6
2021-11-01,2032.9
2021-12-01,2361.3
2022-01-01,2524.2
2022-02-01,2155.7
2022-03-01,2180.2
2022-04-01,2403.2
2022-05-01,3244.7
2022-06-01,4415.5
2022-07-01,5160.7
2022-08-01,4654.7
2022-09-01,4121.3
2022-10-01,2775.7
2022-11-01,2113.3
2022-12-01,2618.4
2023-01-01,2739.7
2023-02-01,2335.1
2023-03-01,2246.2
2023-04-01,2375.4
2023-05-01,3111.2
2023-06-01,3665.4
2023-07-01,5801
2023-08-01,5300.3
2023-09-01,3894.2
2023-10-01,2992.4
2023-11-01,2116.4
2023-12-01,2415.1
2024-01-01,2745
2024-02-01,2200.3
2024-03-01,2145.6
2024-04-01,2297.1
2024-05-01,3099.9
2024-06-01,4690.4
2024-07-01,5793.4
2024-08-01,5293.5
2024-09-01,4363.8
2024-10-01,3368.5
2024-11-01,2085.1
2024-12-01,2352.5
2025-01-01,2677.6
2025-02-01,2037.3
2025-03-01,2265.8
2025-04-01,2379.1
2025-05-01,3135.6
2025-06-01,4357.7
2025-07-01,5244.8
2025-08-01,5486.9
2025-09-01,4168
2025-10-01,2780.8
2025-11-01,2218.3
2025-12-01,2309.7
