Year,Proxy,ObsMAF
762,0.482815408,NA
763,-0.417924919,NA
764,-0.715100116,NA
765,-0.558449625,NA
766,0.570355388,NA
767,-0.079283415,NA
768,0.538103816,NA
769,0.519674347,NA
770,-0.330384938,NA
771,-0.182949182,NA
772,0.98271477,NA
773,0.351505437,NA
774,-0.662115391,NA
775,0.107314965,NA
776,1.266067865,NA
777,0.632554848,NA
778,0.217891782,NA
779,-0.042424476,NA
780,0.717791145,NA
781,-0.348814408,NA
782,0.473600673,NA
783,0.991929505,NA
784,2.745032801,NA
785,0.927426362,NA
786,-1.673432535,NA
787,0.275483875,NA
788,0.731613247,NA
789,0.697057992,NA
790,-0.090801834,NA
791,-0.364940194,NA
792,-1.134370549,NA
793,-0.321170204,NA
794,-0.82337325,NA
795,1.047217914,NA
796,0.95737425,NA
797,-1.03531215,NA
798,0.365327539,NA
799,-0.694366963,NA
800,0.740827982,NA
801,1.848899841,NA
802,1.547117277,NA
803,1.832774055,NA
804,0.683235889,NA
805,-0.369547561,NA
806,-0.480124379,NA
807,-0.945468486,NA
808,-0.159912345,NA
809,-1.205784744,NA
810,1.093291588,NA
811,1.084076853,NA
812,-0.118446038,NA
813,0.273180191,NA
814,-0.139179191,NA
815,-1.811653557,NA
816,0.300824395,NA
817,-0.482428063,NA
818,-1.060652671,NA
819,-1.802438822,NA
820,1.413503622,NA
821,1.480310449,NA
822,-0.452480174,NA
823,-2.783808078,NA
824,-0.844106403,NA
825,-0.742744321,NA
826,0.314646498,NA
827,-0.526198053,NA
828,-0.687455912,NA
829,-0.887876394,NA
830,-1.201177377,NA
831,0.139566536,NA
832,0.64637695,NA
833,0.105011281,NA
834,-0.657508024,NA
835,-1.367042603,NA
836,0.130351802,NA
837,0.625643797,NA
838,0.455171203,NA
839,-0.69897433,NA
840,-1.63887728,NA
841,-0.523894369,NA
842,-0.127660773,NA
843,0.593392225,NA
844,0.639465899,NA
845,-0.13226814,NA
846,-0.157608661,NA
847,-0.61143435,NA
848,-1.182747907,NA
849,-0.821069566,NA
850,1.243031028,NA
851,0.480511724,NA
852,-0.332688622,NA
853,0.20406968,NA
854,0.703969043,NA
855,-0.005565537,NA
856,-0.620649084,NA
857,0.148781271,NA
858,0.941248464,NA
859,0.16029969,NA
860,-1.11594108,NA
861,-0.404102817,NA
862,-0.537716471,NA
863,-0.701278014,NA
864,0.005952882,NA
865,-0.111534987,NA
866,-0.540020155,NA
867,-1.507567309,NA
868,0.137262853,NA
869,0.042811821,NA
870,0.107314965,NA
871,-0.093105517,NA
872,-0.263578111,NA
873,-1.334791031,NA
874,-2.035110876,NA
875,-1.249554734,NA
876,0.614125378,NA
877,0.892871106,NA
878,-0.351118092,NA
879,-0.143786559,NA
880,-0.618345401,NA
881,-0.208289702,NA
882,-0.182949182,NA
883,-0.908609547,NA
884,-1.530604146,NA
885,0.197158629,NA
886,1.183135252,NA
887,1.701464085,NA
888,0.662502736,NA
889,-0.959290588,NA
890,-0.323473887,NA
891,-1.47070837,NA
892,0.190247578,NA
893,0.425223315,NA
894,0.650984318,NA
895,0.662502736,NA
896,1.50565097,NA
897,-0.189860233,NA
898,-0.415621235,NA
899,1.408896255,NA
900,0.153388639,NA
901,-0.563056992,NA
902,-0.834891669,NA
903,-1.058348987,NA
904,-0.475517011,NA
905,0.367631223,NA
906,-1.332487348,NA
907,-0.899394812,NA
908,0.830671646,NA
909,-0.378762296,NA
910,-0.728922218,NA
911,0.929730045,NA
912,0.890567422,NA
913,0.056633923,NA
914,0.116529699,NA
915,-0.500857532,NA
916,-0.378762296,NA
917,0.07967076,NA
918,0.287002293,NA
919,0.169514424,NA
920,-1.463797319,NA
921,1.266067865,NA
922,0.356112804,NA
923,0.406793845,NA
924,-1.830083027,NA
925,-0.242844958,NA
926,1.517169389,NA
927,0.89517479,NA
928,0.667110104,NA
929,1.178527885,NA
930,-0.708189065,NA
931,0.93894478,NA
932,0.680932206,NA
933,-0.710492749,NA
934,-0.996149528,NA
935,0.609518011,NA
936,-0.063157629,NA
937,-0.169127079,NA
938,0.563444337,NA
939,-1.311754194,NA
940,0.358416488,NA
941,-0.544627522,NA
942,0.425223315,NA
943,0.280091242,NA
944,-0.954683221,NA
945,0.47820804,NA
946,2.231311336,NA
947,0.611821695,NA
948,0.220195466,NA
949,-0.463998593,NA
950,0.409097529,NA
951,-0.07006868,NA
952,-0.166823396,NA
953,-1.712595158,NA
954,-0.678241177,NA
955,-0.1944676,NA
956,-0.708189065,NA
957,-1.286413674,NA
958,0.307735446,NA
959,0.466689622,NA
960,0.556533286,NA
961,-0.417924919,NA
962,0.349201753,NA
963,0.072759709,NA
964,0.208677047,NA
965,0.87674532,NA
966,1.185438936,NA
967,0.045115505,NA
968,-0.735833269,NA
969,0.545014867,NA
970,-0.153001293,NA
971,-1.09751161,NA
972,-0.710492749,NA
973,1.358215213,NA
974,1.024181077,NA
975,-0.675937493,NA
976,-0.715100116,NA
977,-0.38106598,NA
978,-0.740440637,NA
979,-1.263376837,NA
980,-1.516782044,NA
981,-1.104422661,NA
982,-0.093105517,NA
983,-0.394888082,NA
984,-0.597612248,NA
985,0.644073267,NA
986,0.508155928,NA
987,1.583976216,NA
988,1.862721944,NA
989,2.454768654,NA
990,0.519674347,NA
991,-1.300235776,NA
992,-1.415419961,NA
993,-2.290819767,NA
994,0.971196352,NA
995,1.487221501,NA
996,1.821255637,NA
997,0.729309563,NA
998,0.199462313,NA
999,0.538103816,NA
1000,0.063544974,NA
1001,-1.180444223,NA
1002,-0.758870106,NA
1003,-0.535412788,NA
1004,-0.187556549,NA
1005,-1.475315737,NA
1006,0.038204454,NA
1007,1.712982503,NA
1008,0.809938493,NA
1009,-0.666722758,NA
1010,-1.523693095,NA
1011,-0.265881795,NA
1012,-1.247251051,NA
1013,-0.235933907,NA
1014,-0.047031843,NA
1015,0.595695909,NA
1016,0.858315851,NA
1017,0.849101116,NA
1018,-1.210392112,NA
1019,-1.489137839,NA
1020,0.980411087,NA
1021,0.987322138,NA
1022,0.125744434,NA
1023,-0.516983318,NA
1024,1.206172089,NA
1025,0.996536873,NA
1026,-0.123053405,NA
1027,-0.279703897,NA
1028,-0.639078554,NA
1029,-0.440961756,NA
1030,0.773079554,NA
1031,0.128048118,NA
1032,-0.353421775,NA
1033,0.280091242,NA
1034,1.279889968,NA
1035,-0.609130666,NA
1036,-0.802640097,NA
1037,0.086581811,NA
1038,-0.772692209,NA
1039,-0.556145941,NA
1040,-0.927039017,NA
1041,-0.989238476,NA
1042,-0.083890783,NA
1043,-1.191962642,NA
1044,-0.164519712,NA
1045,0.245535987,NA
1046,-0.316562836,NA
1047,0.968892668,NA
1048,-0.003261853,NA
1049,-0.470909644,NA
1050,0.289305977,NA
1051,0.574962756,NA
1052,0.503548561,NA
1053,0.054330239,NA
1054,0.885960055,NA
1055,-1.291021041,NA
1056,0.146477587,NA
1057,0.344594386,NA
1058,0.346898069,NA
1059,-0.749655372,NA
1060,-0.279703897,NA
1061,-0.498553848,NA
1062,-0.31886652,NA
1063,1.084076853,NA
1064,1.332874693,NA
1065,1.413503622,NA
1066,-0.883269026,NA
1067,-1.655003066,NA
1068,-1.657306749,NA
1069,0.229410201,NA
1070,-0.31886652,NA
1071,-0.894787445,NA
1072,-0.821069566,NA
1073,-0.189860233,NA
1074,-0.240541274,NA
1075,-0.328081255,NA
1076,0.091189179,NA
1077,0.908996892,NA
1078,0.733916931,NA
1079,1.123239476,NA
1080,1.44345151,NA
1081,0.206373364,NA
1082,0.906693208,NA
1083,0.692450624,NA
1084,1.454969929,NA
1085,-0.645989605,NA
1086,-0.855624822,NA
1087,2.017068751,NA
1088,1.171616834,NA
1089,-0.703581698,NA
1090,-2.26778293,NA
1091,0.095796546,NA
1092,-0.141482875,NA
1093,-0.00786922,NA
1094,-0.420228603,NA
1095,0.261661772,NA
1096,0.72700588,NA
1097,-0.602219615,NA
1098,-1.023793732,NA
1099,-0.109231303,NA
1100,-0.401799133,NA
1101,-0.277400213,NA
1102,1.349000479,NA
1103,1.01957371,NA
1104,-0.583790145,NA
1105,-0.5054649,NA
1106,-0.224415488,NA
1107,0.093492862,NA
1108,-0.579182778,NA
1109,-0.189860233,NA
1110,0.747739033,NA
1111,0.010560249,NA
1112,0.492030142,NA
1113,0.597999593,NA
1114,-0.00786922,NA
1115,2.095393997,NA
1116,2.293510795,NA
1117,2.710477545,NA
1118,0.155692322,NA
1119,0.763864819,NA
1120,0.402186478,NA
1121,-0.963897956,NA
1122,-0.7174038,NA
1123,-0.553842257,NA
1124,-0.837195352,NA
1125,-1.111333712,NA
1126,-1.394686808,NA
1127,0.240928619,NA
1128,1.116328425,NA
1129,1.088684221,NA
1130,-1.136674233,NA
1131,-1.447671533,NA
1132,-0.839499036,NA
1133,0.538103816,NA
1134,-0.235933907,NA
1135,-0.169127079,NA
1136,0.0174713,NA
1137,0.346898069,NA
1138,-1.09751161,NA
1139,-0.63677487,NA
1140,-1.099815294,NA
1141,-0.205986019,NA
1142,0.323861232,NA
1143,0.0174713,NA
1144,-0.120749722,NA
1145,0.038204454,NA
1146,-0.477820695,NA
1147,-1.569766769,NA
1148,-1.247251051,NA
1149,-0.970809007,NA
1150,-1.431545747,NA
1151,-0.754262739,NA
1152,-0.620649084,NA
1153,-0.627560136,NA
1154,-1.028401099,NA
1155,-0.180645498,NA
1156,0.139566536,NA
1157,-0.749655372,NA
1158,-0.724314851,NA
1159,0.448260152,NA
1160,0.671717471,NA
1161,-0.23823759,NA
1162,-0.116142354,NA
1163,0.934337413,NA
1164,0.134959169,NA
1165,-0.88557271,NA
1166,-1.180444223,NA
1167,-0.493946481,NA
1168,-0.546931206,NA
1169,-0.489339114,NA
1170,-0.072372364,NA
1171,-0.461694909,NA
1172,-0.187556549,NA
1173,0.139566536,NA
1174,-0.270489162,NA
1175,-0.772692209,NA
1176,-0.657508024,NA
1177,-0.413317552,NA
1178,0.517370663,NA
1179,0.985018454,NA
1180,2.47089444,NA
1181,2.212881866,NA
1182,0.409097529,NA
1183,0.443652785,NA
1184,2.127645569,NA
1185,0.157996006,NA
1186,-0.537716471,NA
1187,0.105011281,NA
1188,0.738524298,NA
1189,0.243232303,NA
1190,0.715487461,NA
1191,0.305431763,NA
1192,1.805129851,NA
1193,0.26626914,NA
1194,-0.353421775,NA
1195,0.229410201,NA
1196,0.623340113,NA
1197,1.00114424,NA
1198,-0.742744321,NA
1199,-0.565360676,NA
1200,-0.952379537,NA
1201,-0.369547561,NA
1202,-0.533109104,NA
1203,1.077165802,NA
1204,1.240727345,NA
1205,0.208677047,NA
1206,0.045115505,NA
1207,-0.25666706,NA
1208,0.121137067,NA
1209,1.507954654,NA
1210,0.62103643,NA
1211,1.176224201,NA
1212,-0.217504437,NA
1213,0.535800133,NA
1214,0.420615948,NA
1215,0.171818108,NA
1216,-0.827980617,NA
1217,-2.175635582,NA
1218,-0.5054649,NA
1219,1.530991491,NA
1220,0.597999593,NA
1221,0.252447038,NA
1222,0.081974444,NA
1223,-0.249756009,NA
1224,-0.309651785,NA
1225,0.061241291,NA
1226,1.376644683,NA
1227,-0.749655372,NA
1228,0.908996892,NA
1229,0.733916931,NA
1230,-0.452480174,NA
1231,1.058736332,NA
1232,0.015167617,NA
1233,-1.016882681,NA
1234,-1.482226788,NA
1235,0.208677047,NA
1236,-1.316361562,NA
1237,-0.166823396,NA
1238,1.247638396,NA
1239,0.319253865,NA
1240,0.107314965,NA
1241,1.491828868,NA
1242,1.346696795,NA
1243,-0.097712885,NA
1244,-0.090801834,NA
1245,-1.583588871,NA
1246,-0.586093829,NA
1247,-0.572271727,NA
1248,0.943552147,NA
1249,0.978107403,NA
1250,-0.445569123,NA
1251,-2.378359747,NA
1252,-0.282007581,NA
1253,-0.413317552,NA
1254,-1.560552034,NA
1255,0.316950181,NA
1256,1.132454211,NA
1257,0.153388639,NA
1258,-2.935851203,NA
1259,0.952766882,NA
1260,1.404288887,NA
1261,0.43443805,NA
1262,-0.781906943,NA
1263,-0.897091128,NA
1264,-0.977720058,NA
1265,0.091189179,NA
1266,-0.095409201,NA
1267,0.773079554,NA
1268,1.206172089,NA
1269,1.321356274,NA
1270,-0.664419075,NA
1271,0.754650084,NA
1272,1.033395812,NA
1273,-0.80494378,NA
1274,-2.175635582,NA
1275,1.104810006,NA
1276,-0.309651785,NA
1277,-0.528501737,NA
1278,-0.153001293,NA
1279,-1.569766769,NA
1280,-2.83448912,NA
1281,-0.316562836,NA
1282,0.257054405,NA
1283,-1.24034,NA
1284,0.759257452,NA
1285,-0.933950068,NA
1286,-1.549033615,NA
1287,0.344594386,NA
1288,-0.705885381,NA
1289,-0.086194466,NA
1290,1.844292474,NA
1291,-0.157608661,NA
1292,-0.560753308,NA
1293,-0.427139654,NA
1294,-0.7174038,NA
1295,-1.461493635,NA
1296,0.254750721,NA
1297,-0.309651785,NA
1298,1.646175676,NA
1299,0.337683335,NA
1300,-0.311955469,NA
1301,1.042610547,NA
1302,1.162402099,NA
1303,0.890567422,NA
1304,0.114226016,NA
1305,0.466689622,NA
1306,-0.645989605,NA
1307,-3.10862748,NA
1308,-0.394888082,NA
1309,1.839685107,NA
1310,1.980209812,NA
1311,-0.074676048,NA
1312,0.853708483,NA
1313,1.634657257,NA
1314,0.669413787,NA
1315,-0.093105517,NA
1316,-2.714697567,NA
1317,-1.6642178,NA
1318,-0.185252865,NA
1319,0.547318551,NA
1320,1.005751607,NA
1321,0.72700588,NA
1322,-0.800336413,NA
1323,-1.949874579,NA
1324,-0.014780272,NA
1325,1.970995077,NA
1326,2.618330197,NA
1327,0.547318551,NA
1328,-0.980023742,NA
1329,-1.443064165,NA
1330,2.15298609,NA
1331,1.800522484,NA
1332,1.577065165,NA
1333,2.023979803,NA
1334,0.213284415,NA
1335,-0.634471187,NA
1336,-0.560753308,NA
1337,0.729309563,NA
1338,-0.5054649,NA
1339,0.084278128,NA
1340,-0.650596973,NA
1341,-0.083890783,NA
1342,0.41600858,NA
1343,-0.014780272,NA
1344,0.948159515,NA
1345,0.280091242,NA
1346,-0.13226814,NA
1347,-0.199074967,NA
1348,-0.438658072,NA
1349,-0.682848544,NA
1350,-1.899193538,NA
1351,0.157996006,NA
1352,0.24783967,NA
1353,1.862721944,NA
1354,1.185438936,NA
1355,-0.503161216,NA
1356,1.46188098,NA
1357,1.975602445,NA
1358,0.835279014,NA
1359,-0.454783858,NA
1360,-2.083488234,NA
1361,-1.277198939,NA
1362,-1.081385824,NA
1363,-0.217504437,NA
1364,-0.662115391,NA
1365,0.524281714,NA
1366,1.123239476,NA
1367,0.899782157,NA
1368,1.388163101,NA
1369,0.22249915,NA
1370,0.694754308,NA
1371,0.955070566,NA
1372,1.005751607,NA
1373,0.505852245,NA
1374,0.252447038,NA
1375,-1.180444223,NA
1376,-1.069867406,NA
1377,0.885960055,NA
1378,0.913604259,NA
1379,-0.231326539,NA
1380,0.989625821,NA
1381,-0.330384938,NA
1382,0.618732746,NA
1383,1.422718357,NA
1384,0.743131666,NA
1385,0.425223315,NA
1386,0.125744434,NA
1387,0.535800133,NA
1388,-0.282007581,NA
1389,-2.053540346,NA
1390,-0.922431649,NA
1391,-0.210593386,NA
1392,-0.401799133,NA
1393,0.075063393,NA
1394,0.632554848,NA
1395,0.528889082,NA
1396,0.420615948,NA
1397,-1.357827868,NA
1398,-0.908609547,NA
1399,-1.827779343,NA
1400,-0.503161216,NA
1401,0.803027442,NA
1402,-0.712796432,NA
1403,-0.203682335,NA
1404,0.844493748,NA
1405,-0.226719172,NA
1406,0.229410201,NA
1407,-0.081587099,NA
1408,0.535800133,NA
