DATE,TAVG
1949-01-01,-2.17
1949-02-01,1.23
1949-03-01,6.08
1949-04-01,8.88
1949-05-01,12.52
1949-06-01,14.07
1949-07-01,15.72
1949-08-01,15.89
1949-09-01,14.74
1949-10-01,8
1949-11-01,9.48
1949-12-01,2.49
1950-01-01,-6.33
1950-02-01,4
1950-03-01,5.39
1950-04-01,7.96
1950-05-01,10.48
1950-06-01,15.34
1950-07-01,16.39
1950-08-01,16.7
1950-09-01,13.85
1950-10-01,9.34
1950-11-01,5.52
1950-12-01,6.84
1951-01-01,2.33
1951-02-01,3.83
1951-03-01,3.1
1951-04-01,9.1
1951-05-01,12.22
1951-06-01,15.73
1951-07-01,17.06
1951-08-01,16.38
1951-09-01,14.51
1951-10-01,9.51
1951-11-01,5.97
1951-12-01,1
1952-01-01,1.37
1952-02-01,4.4
1952-03-01,5.59
1952-04-01,8.52
1952-05-01,11.95
1952-06-01,12.97
1952-07-01,16.02
1952-08-01,16.48
1952-09-01,14.64
1952-10-01,11.04
1952-11-01,4.8
1952-12-01,5.13
1953-01-01,6.18
1953-02-01,4.63
1953-03-01,6.32
1953-04-01,8.78
1953-05-01,12.07
1953-06-01,13.27
1953-07-01,16.52
1953-08-01,16.98
1953-09-01,14.15
1953-10-01,10.87
1953-11-01,8.35
1953-12-01,5.62
1954-01-01,-0.02
1954-02-01,5.27
1954-03-01,4.38
1954-04-01,7.26
1954-05-01,11.54
1954-06-01,12.95
1954-07-01,14.84
1954-08-01,15.11
1954-09-01,14.15
1954-10-01,9.26
1954-11-01,8.72
1954-12-01,4.98
1955-01-01,3.3
1955-02-01,2.85
1955-03-01,3.17
1955-04-01,6.94
1955-05-01,9.83
1955-06-01,13.92
1955-07-01,14.82
1955-08-01,14.91
1955-09-01,13.01
1955-10-01,9.41
1955-11-01,3.18
1955-12-01,1.94
1956-01-01,2.84
1956-02-01,1.35
1956-03-01,4.56
1956-04-01,9.29
1956-05-01,13.22
1956-06-01,13.64
1956-07-01,17.26
1956-08-01,17.07
1956-09-01,13.65
1956-10-01,9.16
1956-11-01,4.84
1956-12-01,3.85
1957-01-01,-2.22
1957-02-01,2.41
1957-03-01,6.04
1957-04-01,9.78
1957-05-01,13.82
1957-06-01,15.1
1957-07-01,15.41
1957-08-01,15.89
1957-09-01,15.72
1957-10-01,9.55
1957-11-01,5.6
1957-12-01,5.9
1958-01-01,5.95
1958-02-01,7.15
1958-03-01,6.3
1958-04-01,9.24
1958-05-01,14.67
1958-06-01,17.51
1958-07-01,19.98
1958-08-01,18.39
1958-09-01,14.46
1958-10-01,10.84
1958-11-01,5.58
1958-12-01,5.24
1959-01-01,3.4
1959-02-01,3.93
1959-03-01,6.57
1959-04-01,8.8
1959-05-01,11.81
1959-06-01,15.11
1959-07-01,17.55
1959-08-01,15.47
1959-09-01,13.1
1959-10-01,9.98
1959-11-01,4.94
1959-12-01,4.05
1960-01-01,2.86
1960-02-01,4.86
1960-03-01,5.77
1960-04-01,9.58
1960-05-01,11.54
1960-06-01,14.19
1960-07-01,17.95
1960-08-01,15.96
1960-09-01,13.27
1960-10-01,10.99
1960-11-01,6.11
1960-12-01,3.53
1961-01-01,5.42
1961-02-01,6.87
1961-03-01,7.82
1961-04-01,8.92
1961-05-01,12.4
1961-06-01,16.02
1961-07-01,18.12
1961-08-01,18.42
1961-09-01,13.32
1961-10-01,9.24
1961-11-01,4.76
1961-12-01,3.97
1962-01-01,2.88
1962-02-01,5.55
1962-03-01,5.07
1962-04-01,9.58
1962-05-01,10.61
1962-06-01,14.26
1962-07-01,16.28
1962-08-01,15.93
1962-09-01,13.9
1962-10-01,10.93
1962-11-01,7.94
1962-12-01,5.55
1963-01-01,0.04
1963-02-01,7.42
1963-03-01,6.21
1963-04-01,8.85
1963-05-01,12.31
1963-06-01,14.42
1963-07-01,15.73
1963-08-01,17.34
1963-09-01,15.83
1963-10-01,11.25
1963-11-01,7.09
1963-12-01,4.46
1964-01-01,5.5
1964-02-01,4.38
1964-03-01,5.97
1964-04-01,7.53
1964-05-01,10.94
1964-06-01,14.13
1964-07-01,15.93
1964-08-01,15.59
1964-09-01,12.97
1964-10-01,10.6
1964-11-01,4.94
1964-12-01,0.44
1965-01-01,2.6
1965-02-01,4.94
1965-03-01,5.66
1965-04-01,9.12
1965-05-01,10.63
1965-06-01,14.66
1965-07-01,17.42
1965-08-01,16.96
1965-09-01,13.03
1965-10-01,11.54
1965-11-01,7.56
1965-12-01,2.88
1966-01-01,2.83
1966-02-01,4.28
1966-03-01,5.93
1966-04-01,8.41
1966-05-01,10.84
1966-06-01,13.74
1966-07-01,15.32
1966-08-01,16.12
1966-09-01,14.49
1966-10-01,9.01
1966-11-01,6.47
1966-12-01,5.96
1967-01-01,4.41
1967-02-01,4.97
1967-03-01,5.12
1967-04-01,6.9
1967-05-01,11.73
1967-06-01,16.59
1967-07-01,17.32
1967-08-01,18.95
1967-09-01,15.87
1967-10-01,11.25
1967-11-01,7.04
1967-12-01,4.21
1968-01-01,4.06
1968-02-01,6.19
1968-03-01,7.93
1968-04-01,8.14
1968-05-01,12.51
1968-06-01,14.76
1968-07-01,17.99
1968-08-01,16.55
1968-09-01,13.59
1968-10-01,10.15
1968-11-01,7.24
1968-12-01,1.79
1969-01-01,-2.21
1969-02-01,4.57
1969-03-01,6.29
1969-04-01,7.96
1969-05-01,12.85
1969-06-01,16.37
1969-07-01,15.76
1969-08-01,14.8
1969-09-01,13.43
1969-10-01,9.41
1969-11-01,7.11
1969-12-01,5.35
1970-01-01,3.1
1970-02-01,6.61
1970-03-01,6.78
1970-04-01,8.23
1970-05-01,11.55
1970-06-01,15.72
1970-07-01,16.72
1970-08-01,16.42
1970-09-01,13.28
1970-10-01,9.41
1970-11-01,6.25
1970-12-01,2.97
1971-01-01,2.48
1971-02-01,4.25
1971-03-01,4.5
1971-04-01,7.85
1971-05-01,11.34
1971-06-01,12.64
1971-07-01,16.53
1971-08-01,17.75
1971-09-01,12.86
1971-10-01,8.68
1971-11-01,6.25
1971-12-01,0.81
1972-01-01,0.22
1972-02-01,4.22
1972-03-01,6.86
1972-04-01,7.19
1972-05-01,12.56
1972-06-01,13.97
1972-07-01,16.55
1972-08-01,17.16
1972-09-01,11.79
1972-10-01,8.06
1972-11-01,6.74
1972-12-01,1.94
1973-01-01,2.54
1973-02-01,4.25
1973-03-01,5.84
1973-04-01,8.33
1973-05-01,12.09
1973-06-01,14.21
1973-07-01,16.94
1973-08-01,15.6
1973-09-01,15.3
1973-10-01,10.22
1973-11-01,5.18
1973-12-01,6.04
1974-01-01,3.57
1974-02-01,5.88
1974-03-01,7.23
1974-04-01,9.35
1974-05-01,10.94
1974-06-01,14.89
1974-07-01,16.01
1974-08-01,16.83
1974-09-01,16.23
1974-10-01,10.35
1974-11-01,6.8
1974-12-01,5.57
1975-01-01,2.64
1975-02-01,2.8
1975-03-01,5.27
1975-04-01,6.83
1975-05-01,11.39
1975-06-01,13.62
1975-07-01,17.16
1975-08-01,15.67
1975-09-01,14.53
1975-10-01,9.49
1975-11-01,6.86
1975-12-01,3.81
1976-01-01,4.9
1976-02-01,4.38
1976-03-01,4.26
1976-04-01,8.66
1976-05-01,11.41
1976-06-01,13.76
1976-07-01,17.01
1976-08-01,16.1
1976-09-01,14.86
1976-10-01,10.62
1976-11-01,7.01
1976-12-01,6.03
1977-01-01,1.92
1977-02-01,7.43
1977-03-01,6.8
1977-04-01,10.76
1977-05-01,11.7
1977-06-01,15.94
1977-07-01,16.52
1977-08-01,19.36
1977-09-01,14.18
1977-10-01,10.6
1977-11-01,6.59
1977-12-01,3.29
1978-01-01,3.83
1978-02-01,6.35
1978-03-01,8.33
1978-04-01,10.08
1978-05-01,12.83
1978-06-01,16.44
1978-07-01,17.47
1978-08-01,17.03
1978-09-01,13.8
1978-10-01,10.28
1978-11-01,3.42
1978-12-01,1.88
1979-01-01,-1
1979-02-01,3.76
1979-03-01,6.89
1979-04-01,9.07
1979-05-01,12.55
1979-06-01,14.32
1979-07-01,17.54
1979-08-01,17.17
1979-09-01,15.59
1979-10-01,10.8
1979-11-01,4.81
1979-12-01,6.26
1980-01-01,0.32
1980-02-01,5.94
1980-03-01,6.03
1980-04-01,10.24
1980-05-01,11.88
1980-06-01,13.89
1980-07-01,16.03
1980-08-01,15.53
1980-09-01,14.38
1980-10-01,10.61
1980-11-01,7.2
1980-12-01,4.59
1981-01-01,5.49
1981-02-01,5.28
1981-03-01,7.81
1981-04-01,8.92
1981-05-01,12.27
1981-06-01,13.43
1981-07-01,16.47
1981-08-01,17.94
1981-09-01,14.54
1981-10-01,9.35
1981-11-01,7.58
1981-12-01,3.97
1982-01-01,1.74
1982-02-01,4.54
1982-03-01,5.45
1982-04-01,7.38
1982-05-01,11.35
1982-06-01,16
1982-07-01,15.85
1982-08-01,16.21
1982-09-01,14.69
1982-10-01,10.17
1982-11-01,4.43
1982-12-01,4.06
1983-01-01,6.25
1983-02-01,6.85
1983-03-01,8.75
1983-04-01,9
1983-05-01,13.16
1983-06-01,14.64
1983-07-01,15.95
1983-08-01,17.11
