"Year","Month","producers","grazers"
1962,1,-1.175,-0.328
1962,2,-0.582,-0.257
1962,3,-0.92,0.038
1962,4,-0.136,0.398
1962,5,-0.095,0.445
1962,6,-0.403,-0.111
1962,7,-0.712,0.072
1962,8,-0.175,0.104
1962,9,-0.512,0.172
1962,10,-0.559,0.243
1962,11,-0.515,-0.141
1962,12,-0.421,-0.266
1963,1,-1.404,-0.318
1963,2,-1.684,-0.527
1963,3,-1.337,-0.499
1963,4,-0.976,-0.412
1963,5,0.049,0.782
1963,6,0.3,0.353
1963,7,0.613,0.572
1963,8,-0.598,0.443
1963,9,-0.426,0.48
1963,10,-0.386,0.408
1963,11,-0.55,-0.221
1963,12,-0.327,-0.23
1964,1,-0.854,-0.352
1964,2,-0.925,-0.562
1964,3,-1.075,-0.53
1964,4,0.318,-0.238
1964,5,0.304,0.615
1964,6,0.994,0.592
1964,7,0.667,0.428
1964,8,0.296,0.565
1964,9,-0.108,0.55
1964,10,0.337,0.342
1964,11,0.398,0.072
1964,12,-0.05,-0.183
1965,1,-0.489,-0.438
1965,2,-0.569,-0.481
1965,3,-0.648,-0.524
1965,4,0.628,0.104
1965,5,0.957,0.732
1965,6,1.153,1.018
1965,7,0.455,0.642
1965,8,0.14,0.647
1965,9,-0.838,0.362
1965,10,-0.148,0.1
1965,11,-0.39,-0.021
1965,12,-0.873,-0.143
1966,1,-0.915,-0.413
1966,2,-0.752,-0.536
1966,3,-0.26,-0.442
1966,4,0.041,0.209
1966,5,0.473,0.745
1966,6,0.383,1.002
1966,7,0.072,1.051
1966,8,0.423,0.884
1966,9,0.417,0.693
1966,10,-0.075,-0.165
1966,11,-0.567,-0.328
1966,12,-0.274,-0.352
1967,1,-0.413,-0.482
1967,2,-0.824,-0.45
1967,3,-1.032,-0.287
1967,4,0.004,-0.027
1967,5,0.39,0.893
1967,6,0.254,0.759
1967,7,0.626,0.607
1967,8,0.499,0.414
1967,9,0.558,0.132
1967,10,0.302,0.287
1967,11,-0.117,-0.017
1967,12,-0.655,-0.439
1968,1,-0.543,-0.48
1968,2,-0.43,-0.585
1968,3,-0.665,-0.257
1968,4,0.575,0.067
1968,5,1.086,0.662
1968,6,0.193,0.801
1968,7,1.142,0.742
1968,8,0.686,0.26
1968,9,0.82,0.024
1968,10,0.163,-0.404
1968,11,-0.31,-0.562
1968,12,-0.534,-0.675
1969,1,-0.628,-0.66
1969,2,-0.839,-0.646
1969,3,-0.234,-0.501
1969,4,0.622,-0.066
1969,5,0.953,0.854
1969,6,-0.204,0.57
1969,7,0.871,0.463
1969,8,0.201,0.253
1969,9,0.216,0.042
1969,10,0.183,-0.168
1969,11,-0.126,-0.266
1969,12,-0.069,-0.16
1970,1,-0.799,-0.462
1970,2,-0.558,-0.474
1970,3,-0.284,-0.73
1970,4,0.137,-0.085
1970,5,0.854,1.051
1970,6,1.039,1.405
1970,7,0.851,1.095
1970,8,0.173,0.432
1970,9,0.069,-0.099
1970,10,-0.02,-0.239
1970,11,0.223,-0.317
1970,12,-0.179,-0.48
1971,1,-0.779,-0.531
1971,2,-0.686,-0.466
1971,3,0.047,-0.659
1971,4,0.052,0.072
1971,5,0.274,0.844
1971,6,0.459,1.032
1971,7,0.522,0.816
1971,8,0.595,0.415
1971,9,0.286,0.113
1971,10,-0.287,-0.105
1971,11,-0.299,-0.372
1971,12,-0.712,-0.679
1972,1,-0.659,-0.65
1972,2,-0.44,-0.941
1972,3,0.027,-0.76
1972,4,-0.108,-0.913
1972,5,0.261,0.65
1972,6,0.279,0.668
1972,7,-0.03,0.598
1972,8,0.206,0.157
1972,9,0.063,0.023
1972,10,0.201,-0.135
1972,11,0.195,-0.238
1972,12,-0.382,-0.545
1973,1,-0.289,-0.664
1973,2,-0.291,-0.416
1973,3,0.194,-0.089
1973,4,0.31,0.841
1973,5,0.044,1.06
1973,6,0.222,0.79
1973,7,-0.226,0.324
1973,8,-0.313,-0.041
1973,9,-0.423,0.004
1973,10,-0.3,-0.172
1973,11,-0.653,-0.129
1973,12,-0.819,-0.496
1974,1,-1.092,-0.656
1974,2,-0.791,-0.885
1974,3,-1.177,-0.612
1974,4,0.094,-0.079
1974,5,0.284,0.758
1974,6,0.195,0.674
1974,7,0.307,0.583
1974,8,0.192,0.251
1974,9,0.29,0.21
1974,10,0.533,0.27
1974,11,0.611,-0.015
1974,12,0.224,-0.491
1975,1,-0.553,-0.641
1975,2,-0.226,-0.555
1975,3,0.035,-0.452
1975,4,0.467,0.234
1975,5,0.681,1.211
1975,6,0.561,0.888
1975,7,0.547,0.748
1975,8,0.517,0.283
1975,9,0.205,0.185
1975,10,0.215,-0.163
1975,11,-0.102,-0.447
1975,12,0.215,-0.683
1976,1,-0.095,-0.93
1976,2,-0.162,-0.894
1976,3,0.411,-0.509
1976,4,0.419,0.154
1976,5,0.814,0.57
1976,6,0.894,1.509
1976,7,0.598,0.248
1976,8,0.353,-0.037
1976,9,0.257,-0.574
1976,10,-0.22,-0.471
1976,11,-0.014,-0.613
1976,12,-0.524,-0.952
1977,1,-0.741,-1.039
1977,2,-0.665,-0.981
1977,3,-0.322,-0.357
1977,4,0.397,0.704
1977,5,0.26,0.962
1977,6,0.12,0.128
1977,7,0.141,-0.17
1977,8,-0.412,-0.194
1977,9,-0.094,0.123
1977,10,0.06,0.14
1977,11,0,-0.482
1977,12,-0.121,-0.474
1978,1,-0.115,-0.442
1978,2,-0.189,-0.619
1978,3,0.323,-0.205
1978,4,0.568,0.839
1978,5,0.214,0.563
1978,6,0.459,0.489
1978,7,-0.055,-0.123
1978,8,0.075,0.187
1978,9,0.22,0.135
1978,10,0.146,0.297
1978,11,-0.205,0.084
1978,12,-0.066,-0.958
1979,1,0.218,-1.007
1979,2,0.072,-0.961
1979,3,0.398,-0.258
1979,4,0.65,0.159
1979,5,0.407,0.384
1979,6,-0.154,-0.06
1979,7,0.063,-0.054
1979,8,-0.103,-0.2
1979,9,-0.17,0.067
1979,10,0.328,0.223
1979,11,0.553,-0.011
1979,12,0.695,-0.514
1980,1,0.031,-0.556
1980,2,0.178,-0.732
1980,3,0.778,-0.255
1980,4,0.398,0.31
1980,5,0.306,0.954
1980,6,0.658,0.73
1980,7,0.555,0.526
1980,8,0.541,0.176
1980,9,0.369,0.341
1980,10,0.223,0.031
1980,11,0.048,-0.54
1980,12,-0.175,-0.86
1981,1,-0.673,-0.829
1981,2,-0.284,-0.843
1981,3,0.387,-0.306
1981,4,0.578,0.107
1981,5,0.639,1.471
1981,6,0.378,0.571
1981,7,0.082,0.208
1981,8,-0.115,-0.052
1981,9,-0.095,0.066
1981,10,0.263,0.159
1981,11,0.404,-0.097
1981,12,-0.423,-1.104
1982,1,-0.056,-0.881
1982,2,-0.732,-0.87
1982,3,-0.156,-0.697
1982,4,0.306,-0.321
1982,5,0.608,0.914
1982,6,0.09,0.731
1982,7,0.168,0.242
1982,8,0.064,0.284
1982,9,0.206,0.255
1982,10,0.388,0.203
1982,11,0.138,-0.227
1982,12,-0.015,-0.725
1983,1,-0.085,-0.848
1983,2,-0.077,-0.755
1983,3,0.243,-0.585
1983,4,0.78,0.25
1983,5,0.239,1.164
1983,6,-0.123,0.578
1983,7,0.443,0.115
1983,8,0.636,0.407
1983,9,0.28,0.333
1983,10,0.416,-0.069
1983,11,-0.189,-0.343
1983,12,-0.311,-0.973
1984,1,-0.051,-0.916
1984,2,-0.264,-0.892
1984,3,-0.216,-0.505
1984,4,0.359,0.301
1984,5,0.414,0.65
1984,6,0.331,0.344
1984,7,0.6,0.314
1984,8,-0.031,0.131
1984,9,0.047,0.388
1984,10,0.233,0.151
1984,11,-0.294,-0.176
1984,12,-0.429,-0.867
1985,1,-0.324,-1.159
1985,2,-0.022,-0.952
1985,3,0.352,-0.637
1985,4,0.347,0.295
1985,5,0.316,0.697
1985,6,-0.023,0.063
1985,7,0.146,0.495
1985,8,0.439,0.682
1985,9,0.149,0.289
1985,10,-0.289,0.299
1985,11,-0.035,-0.327
1985,12,-0.28,-1.094
1986,1,-0.396,-0.797
1986,2,-0.399,-0.247
1986,3,-0.199,-0.67
1986,4,-0.104,0.255
1986,5,0.234,0.6
1986,6,0.094,0.315
1986,7,0.097,0.399
1986,8,0.035,0.47
1986,9,-0.007,0.348
1986,10,0.252,0.161
1986,11,0.089,0.106
1986,12,-0.351,-0.745
1987,1,-0.351,-0.851
1987,2,0.104,-0.678
1987,3,0.267,-0.176
1987,4,0.445,0.178
1987,5,0.244,0.858
1987,6,0.543,0.574
1987,7,0.478,0.541
1987,8,0.131,0.225
1987,9,0.222,0.116
1987,10,-0.089,-0.11
1987,11,0.129,-0.218
1987,12,-0.321,-0.688
1988,1,-0.821,-0.71
1988,2,-0.378,-0.597
1988,3,-0.539,-0.812
1988,4,-0.041,0.532
1988,5,0.428,0.636
1988,6,0.333,0.716
1988,7,0.034,0.215
1988,8,-0.051,0.214
1988,9,-0.199,0.457
1988,10,-0.323,0.14
1988,11,-0.467,-0.274
1988,12,-1.545,-1.15
1989,1,-0.537,-1.12
1989,2,-0.782,-1.167
1989,3,-0.006,-0.956
1989,4,0.549,-0.164
1989,5,0.223,0.949
1989,6,-0.367,0.981
1989,7,-0.113,0.395
1989,8,-0.171,0.333
1989,9,-0.39,0.391
1989,10,0.299,0.004
1989,11,-0.092,-0.649
1989,12,-0.431,-0.945
1990,1,-0.561,-1.066
1990,2,-0.713,-1.121
1990,3,-0.154,-0.838
1990,4,0.18,0.168
1990,5,0.43,0.744
1990,6,0.717,0.975
1990,7,0.63,0.872
1990,8,-0.048,0.428
1990,9,-0.337,0.089
1990,10,0.254,0.429
1990,11,-0.008,0.181
1990,12,0,-0.937
1991,1,-0.345,-0.842
1991,2,0.184,-0.483
1991,3,0.047,-0.346
1991,4,0.487,-0.317
1991,5,0.336,1.064
1991,6,0.321,1.377
1991,7,0.423,0.837
1991,8,0.02,0.32
1991,9,0.021,0.205
1991,10,0.182,0.315
1991,11,0.267,0.463
1991,12,0.187,-0.007
1992,1,-0.162,-0.619
1992,2,-0.056,-0.247
1992,3,0.223,0.065
1992,4,0.064,1.561
1992,5,0.369,1.129
1992,6,-0.237,0.64
1992,7,-0.083,0.006
1992,8,0.171,-0.011
1992,9,0.202,0.013
1992,10,-0.347,0.14
1992,11,-0.059,-0.428
1992,12,-0.324,-0.614
1993,1,-0.712,-0.409
1993,2,-0.407,-0.203
1993,3,-0.157,-0.75
1993,4,-0.019,0.42
1993,5,-0.186,1.028
1993,6,-0.114,0.478
1993,7,0.088,0.166
1993,8,0.485,0.435
1993,9,0.126,-0.12
1993,10,0.114,-0.195
1993,11,-0.109,-0.046
1993,12,-0.463,-0.531
1994,1,-0.642,-0.77
1994,2,-0.62,-0.726
1994,3,-0.279,-0.237
1994,4,0.346,-0.194
1994,5,0.347,1.617
1994,6,0.112,0.597
1994,7,-0.105,0.145
1994,8,-0.221,-0.245
1994,9,-0.59,0.035
1994,10,-0.053,0.085
1994,11,0.154,-0.232
1994,12,-0.374,-1.002
