DateTime,rad
2014-06-01T00:00:00Z,0
2014-06-01T01:00:00Z,0
2014-06-01T02:00:00Z,0
2014-06-01T03:00:00Z,0
2014-06-01T04:00:00Z,0
2014-06-01T05:00:00Z,37
2014-06-01T06:00:00Z,309
2014-06-01T07:00:00Z,529
2014-06-01T08:00:00Z,733
2014-06-01T09:00:00Z,901
2014-06-01T10:00:00Z,1025
2014-06-01T11:00:00Z,1090
2014-06-01T12:00:00Z,1096
2014-06-01T13:00:00Z,1039
2014-06-01T14:00:00Z,924
2014-06-01T15:00:00Z,760
2014-06-01T16:00:00Z,NA
2014-06-01T17:00:00Z,342
2014-06-01T18:00:00Z,126
2014-06-01T19:00:00Z,5
2014-06-01T20:00:00Z,0
2014-06-01T21:00:00Z,0
2014-06-01T22:00:00Z,0
2014-06-01T23:00:00Z,0
2014-06-02T00:00:00Z,0
2014-06-02T01:00:00Z,0
2014-06-02T02:00:00Z,0
2014-06-02T03:00:00Z,0
2014-06-02T04:00:00Z,0
2014-06-02T05:00:00Z,39
2014-06-02T06:00:00Z,317
2014-06-02T07:00:00Z,537
2014-06-02T08:00:00Z,723
2014-06-02T09:00:00Z,918
2014-06-02T10:00:00Z,893
2014-06-02T11:00:00Z,1093
2014-06-02T12:00:00Z,1098
2014-06-02T13:00:00Z,1049
2014-06-02T14:00:00Z,NA
2014-06-02T15:00:00Z,761
2014-06-02T16:00:00Z,562
2014-06-02T17:00:00Z,339
2014-06-02T18:00:00Z,123
2014-06-02T19:00:00Z,NA
2014-06-02T20:00:00Z,0
2014-06-02T21:00:00Z,0
2014-06-02T22:00:00Z,0
2014-06-02T23:00:00Z,0
2014-06-03T00:00:00Z,0
2014-06-03T01:00:00Z,0
2014-06-03T02:00:00Z,0
2014-06-03T03:00:00Z,0
2014-06-03T04:00:00Z,0
2014-06-03T05:00:00Z,40
2014-06-03T06:00:00Z,306
2014-06-03T07:00:00Z,525
2014-06-03T08:00:00Z,728
2014-06-03T09:00:00Z,897
2014-06-03T10:00:00Z,1017
2014-06-03T11:00:00Z,1086
2014-06-03T12:00:00Z,NA
2014-06-03T13:00:00Z,1039
2014-06-03T14:00:00Z,924
2014-06-03T15:00:00Z,760
2014-06-03T16:00:00Z,NA
2014-06-03T17:00:00Z,NA
2014-06-03T18:00:00Z,126
2014-06-03T19:00:00Z,5
2014-06-03T20:00:00Z,0
2014-06-03T21:00:00Z,0
2014-06-03T22:00:00Z,0
2014-06-03T23:00:00Z,0
2014-06-04T00:00:00Z,0
2014-06-04T01:00:00Z,0
2014-06-04T02:00:00Z,0
2014-06-04T03:00:00Z,0
2014-06-04T04:00:00Z,0
2014-06-04T05:00:00Z,39
2014-06-04T06:00:00Z,306
2014-06-04T07:00:00Z,NA
2014-06-04T08:00:00Z,735
2014-06-04T09:00:00Z,NA
2014-06-04T10:00:00Z,1030
2014-06-04T11:00:00Z,1107
2014-06-04T12:00:00Z,1121
2014-06-04T13:00:00Z,NA
2014-06-04T14:00:00Z,947
2014-06-04T15:00:00Z,NA
2014-06-04T16:00:00Z,589
2014-06-04T17:00:00Z,355
2014-06-04T18:00:00Z,142
2014-06-04T19:00:00Z,5
2014-06-04T20:00:00Z,0
2014-06-04T21:00:00Z,0
2014-06-04T22:00:00Z,0
2014-06-04T23:00:00Z,0
2014-06-05T00:00:00Z,0
2014-06-05T01:00:00Z,0
2014-06-05T02:00:00Z,0
2014-06-05T03:00:00Z,0
2014-06-05T04:00:00Z,1
2014-06-05T05:00:00Z,41
2014-06-05T06:00:00Z,305
2014-06-05T07:00:00Z,524
2014-06-05T08:00:00Z,726
2014-06-05T09:00:00Z,895
2014-06-05T10:00:00Z,1049
2014-06-05T11:00:00Z,1218
2014-06-05T12:00:00Z,1145
2014-06-05T13:00:00Z,613
2014-06-05T14:00:00Z,1042
2014-06-05T15:00:00Z,922
2014-06-05T16:00:00Z,638
2014-06-05T17:00:00Z,472
2014-06-05T18:00:00Z,193
2014-06-05T19:00:00Z,8
2014-06-05T20:00:00Z,0
2014-06-05T21:00:00Z,0
2014-06-05T22:00:00Z,0
2014-06-05T23:00:00Z,0
2014-06-06T00:00:00Z,0
2014-06-06T01:00:00Z,NA
2014-06-06T02:00:00Z,0
2014-06-06T03:00:00Z,0
2014-06-06T04:00:00Z,1
2014-06-06T05:00:00Z,36
2014-06-06T06:00:00Z,303
2014-06-06T07:00:00Z,524
2014-06-06T08:00:00Z,812
2014-06-06T09:00:00Z,885
2014-06-06T10:00:00Z,1015
2014-06-06T11:00:00Z,1199
2014-06-06T12:00:00Z,1022
2014-06-06T13:00:00Z,261
2014-06-06T14:00:00Z,563
2014-06-06T15:00:00Z,338
2014-06-06T16:00:00Z,155
2014-06-06T17:00:00Z,87
2014-06-06T18:00:00Z,NA
2014-06-06T19:00:00Z,8
2014-06-06T20:00:00Z,0
2014-06-06T21:00:00Z,0
2014-06-06T22:00:00Z,0
2014-06-06T23:00:00Z,0
2014-06-07T00:00:00Z,0
2014-06-07T01:00:00Z,NA
2014-06-07T02:00:00Z,0
2014-06-07T03:00:00Z,0
2014-06-07T04:00:00Z,0
2014-06-07T05:00:00Z,62
2014-06-07T06:00:00Z,255
2014-06-07T07:00:00Z,480
2014-06-07T08:00:00Z,725
2014-06-07T09:00:00Z,884
2014-06-07T10:00:00Z,NA
2014-06-07T11:00:00Z,1085
2014-06-07T12:00:00Z,1156
2014-06-07T13:00:00Z,1117
2014-06-07T14:00:00Z,NA
2014-06-07T15:00:00Z,173
2014-06-07T16:00:00Z,230
2014-06-07T17:00:00Z,NA
2014-06-07T18:00:00Z,164
2014-06-07T19:00:00Z,1
2014-06-07T20:00:00Z,0
2014-06-07T21:00:00Z,0
2014-06-07T22:00:00Z,0
2014-06-07T23:00:00Z,0
2014-06-08T00:00:00Z,0
2014-06-08T01:00:00Z,0
2014-06-08T02:00:00Z,0
2014-06-08T03:00:00Z,0
2014-06-08T04:00:00Z,0
2014-06-08T05:00:00Z,52
2014-06-08T06:00:00Z,300
2014-06-08T07:00:00Z,522
2014-06-08T08:00:00Z,712
2014-06-08T09:00:00Z,895
2014-06-08T10:00:00Z,1023
2014-06-08T11:00:00Z,1089
2014-06-08T12:00:00Z,1096
2014-06-08T13:00:00Z,1041
2014-06-08T14:00:00Z,924
2014-06-08T15:00:00Z,764
2014-06-08T16:00:00Z,564
2014-06-08T17:00:00Z,344
2014-06-08T18:00:00Z,139
2014-06-08T19:00:00Z,7
2014-06-08T20:00:00Z,0
2014-06-08T21:00:00Z,0
2014-06-08T22:00:00Z,0
2014-06-08T23:00:00Z,NA
2014-06-09T00:00:00Z,0
2014-06-09T01:00:00Z,NA
2014-06-09T02:00:00Z,0
2014-06-09T03:00:00Z,NA
2014-06-09T04:00:00Z,1
2014-06-09T05:00:00Z,NA
2014-06-09T06:00:00Z,NA
2014-06-09T07:00:00Z,513
2014-06-09T08:00:00Z,715
2014-06-09T09:00:00Z,892
2014-06-09T10:00:00Z,NA
2014-06-09T11:00:00Z,1075
2014-06-09T12:00:00Z,NA
2014-06-09T13:00:00Z,NA
2014-06-09T14:00:00Z,459
2014-06-09T15:00:00Z,686
2014-06-09T16:00:00Z,366
2014-06-09T17:00:00Z,161
2014-06-09T18:00:00Z,NA
2014-06-09T19:00:00Z,2
2014-06-09T20:00:00Z,0
2014-06-09T21:00:00Z,0
2014-06-09T22:00:00Z,0
2014-06-09T23:00:00Z,0
2014-06-10T00:00:00Z,0
2014-06-10T01:00:00Z,0
2014-06-10T02:00:00Z,0
2014-06-10T03:00:00Z,0
2014-06-10T04:00:00Z,0
2014-06-10T05:00:00Z,48
2014-06-10T06:00:00Z,301
2014-06-10T07:00:00Z,517
2014-06-10T08:00:00Z,716
2014-06-10T09:00:00Z,879
2014-06-10T10:00:00Z,1002
2014-06-10T11:00:00Z,987
2014-06-10T12:00:00Z,547
2014-06-10T13:00:00Z,888
2014-06-10T14:00:00Z,850
2014-06-10T15:00:00Z,542
2014-06-10T16:00:00Z,236
2014-06-10T17:00:00Z,NA
2014-06-10T18:00:00Z,16
2014-06-10T19:00:00Z,3
2014-06-10T20:00:00Z,0
2014-06-10T21:00:00Z,0
2014-06-10T22:00:00Z,0
2014-06-10T23:00:00Z,0
2014-06-11T00:00:00Z,0
2014-06-11T01:00:00Z,0
2014-06-11T02:00:00Z,0
2014-06-11T03:00:00Z,0
2014-06-11T04:00:00Z,0
2014-06-11T05:00:00Z,NA
2014-06-11T06:00:00Z,NA
2014-06-11T07:00:00Z,524
2014-06-11T08:00:00Z,705
2014-06-11T09:00:00Z,872
2014-06-11T10:00:00Z,1002
2014-06-11T11:00:00Z,1071
2014-06-11T12:00:00Z,624
2014-06-11T13:00:00Z,1128
2014-06-11T14:00:00Z,1026
2014-06-11T15:00:00Z,711
2014-06-11T16:00:00Z,113
2014-06-11T17:00:00Z,NA
2014-06-11T18:00:00Z,155
2014-06-11T19:00:00Z,10
2014-06-11T20:00:00Z,0
2014-06-11T21:00:00Z,NA
2014-06-11T22:00:00Z,NA
2014-06-11T23:00:00Z,0
2014-06-12T00:00:00Z,0
2014-06-12T01:00:00Z,0
2014-06-12T02:00:00Z,0
2014-06-12T03:00:00Z,0
2014-06-12T04:00:00Z,1
2014-06-12T05:00:00Z,28
2014-06-12T06:00:00Z,293
2014-06-12T07:00:00Z,523
2014-06-12T08:00:00Z,730
2014-06-12T09:00:00Z,870
