Year,LeesWYflow,OctAprP,MarJulT,novsoil
1906,18214678,267.697753,9.852822912,1064625.564
1907,21234305,271.0135542,10.05227304,1067966.545
1908,11773952,185.7286717,9.910895084,706853.37
1909,21841427,275.7564883,9.545043748,924749.416
1910,14736670,198.2103875,11.95068775,868586.394
1911,15125081,252.958144,10.49290995,684712.196
1912,19082127,243.40455,9.106042441,893822.244
1913,14472192,180.6016869,9.8591705610000009,936922.097
1914,21066767,253.3072475,10.65966018,819232.344
1915,14137603,215.1872793,9.971314231,818292.297
1916,19187542,252.5735123,10.40510923,676417.762
1917,23849259,261.7193004,8.615636292,1150373.233
1918,15750724,182.3234515,10.87841841,532295.641
1919,12951469,190.9894133,11.17461201,675730.092
1920,21927976,276.7724131,9.585915055,870637.388
1921,22703070,223.9423894,10.69226595,901161.044
1922,18669586,244.5466732,9.90787466,665021.808
1923,18343663,219.1917647,9.657436846,595799.046
1924,14639094,187.0598212,9.833799933,909002.468
1925,13410821,197.2022129,11.53425652,642182.992
1926,16114020,220.2510332,11.19720733,869027.043
1927,18551860,238.4269734,10.53690286,611181.028
1928,17577859,179.1459691,10.66967289,1161170.825
1929,21407051,259.6217936,9.923656435,1043424.638
1930,15283505,169.1422316,10.85695228,782872.705
1931,8631719,143.1399648,11.12680078,704425.152
1932,17545522,256.830425,10.40138322,728375.616
1933,12130063,169.0862177,10.4301065,563700.831
1934,6627514,151.6232183,12.95807558,524719.272
1935,12280022,211.5522799,10.39523956,453446.906
1936,14485382,191.7181804,11.85758409,484332.777
1937,14161753,221.6619036,10.6469613,608806.581
1938,17920064,239.9847293,10.57457739,666297.026
1939,11718056,201.228131,11.38463867,693934.897
1940,9380279,193.5131979,12.28434374,542055.248
1941,18319340,297.2188895,10.29793004,752915.478
1942,19428259,281.5763777,10.30362903,1498547.519
1943,13624479,204.3990337,11.29357944,529112.495
1944,15512509,246.6062585,9.658466353,638632.69
1945,13912713,221.1793838,9.704755844,555060.233
1946,11062728,175.7424597,11.7488994,600113.499
1947,15916279,221.4866449,10.88887006,1045551.578
1948,15880189,249.9292697,10.3029331,848065.904
1949,16662172,245.0944582,10.90217209,511958.674
1950,13317921,207.9097368,10.23973281,821970.108
1951,12485833,160.6270132,10.53062659,509344.607
1952,20900043,295.8750335,10.21469808,681960.588
1953,11204001,156.9791886,10.5718367,532483.578
1954,8368141,179.0192675,11.72886621,715028.343
1955,9795470,170.2683023,9.900289378,668488.876
1956,11505097,186.0068027,11.42729573,466715.933
1957,20159803,243.0146368,10.28141398,350761.305
1958,16899937,257.6346323,10.70937557,1249089.478
1959,9232537,154.9856514,11.402388,425903.858
1960,11974847,206.9210117,11.57029522,696652.848
1961,9247778,204.1755759,11.4184381,672770.766
1962,17769350,229.0531633,10.42841103,977367.119
1963,9169052,177.0305027,11.10908505,580063.717
1964,10355450,166.8189577,9.941925101,557230.176
1965,18433671,237.7108948,9.496307481,546712.731
1966,11139763,181.9962489,11.45325528,1134715.572
1967,11786991,183.5744593,10.68079863,545955.561
1968,13307287,204.8374393,10.40508937,595267.768
1969,14543476,215.0010758,10.6400345,579781.187
1970,15040894,212.9019354,10.04085151,1007061.124
1971,14867359.07,190.4186581,10.62990768,908751.721
1972,12398392.31,190.7074024,11.89917459,897242.759
1973,19270765.63,310.3511865,9.702507206,1444632.903
1974,12965334.51,196.1609788,11.70892686,719649.674
1975,16563779.38,243.6845262,9.299897639,692979.969
1976,11199052.89,175.8692448,10.70469712,595665.858
1977,5417868.779,82.10994895,11.27539492,427636.178
1978,14870958.1,261.8822934,11.3391536,505150.149
1979,17601107.56,294.540286,10.56146987,830371.356
1980,17305968.62,287.1471345,10.40241716,535143.436
1981,8620192.345,161.2840746,11.7554432,628779.733
1982,16696933.35,251.0206247,10.18302037,979556.323
1983,23697874.48,251.3374388,9.612187924,1080988.577
1984,24182773.87,261.3399076,10.37426657,1031712.732
1985,21024133.23,261.950804,11.58739446,1041952.603
1986,22337520.05,269.6408783,11.51725738,1004358.242
1987,16543032.02,216.2673655,11.02376067,1131868.325
1988,11621974.34,225.7125851,11.38266279,845293.699
1989,9509262.957,174.371814,12.23723735,516071.771
1990,8945153.096,165.7761172,11.74628115,460791.767
1991,12317649.45,201.9280379,10.25155339,688224.397
1992,11066523.28,200.7664628,11.83651504,803618.307
1993,18663177.3,291.4800062,10.40723797,558567.369
1994,10570374.85,206.2097129,12.34829289,839794.881
1995,19854883.42,274.882487,9.837920108,725348.752
1996,14025294.82,187.8038686,11.83679454,721934.585
1997,21164100.47,285.2043708,10.95313533,946360.109
1998,16956553.41,230.6775573,10.36638522,1047719.129
1999,16414583.78,257.1608211,10.73083341,1114798.419
2000,10510108.49,171.4812857,12.3521435,602131.568
2001,11025391.53,223.6080226,12.11385276,646034.55
2002,5871593.278,133.7106951,12.31629261,559262.049
2003,10425296.55,203.8319348,12.18970324,665631.458
2004,9418030.238,215.9913039,12.28371845,477351.016
2005,17069976.54,298.6461695,11.34830362,1140689.335
2006,12619346.68,200.0256928,12.35632427,669917.001
2007,12768557.44,224.3740456,12.59818077,1165350.683
2008,16433538.8,241.3920926,10.30541477,553184.664
2009,14522150.67,215.1997912,11.19008857,562349.182
2010,12525940.21,223.060042,10.79991205,544395.947
2011,20450800,273.8725505,10.49004789,794604.535
2012,8556040,173.8416841,13.07535525,738574.333
